word,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49
before,-0.09193483011772885,0.6128473365927903,-0.16539017127742794,0.9972984297996742,-1.4884878508224089,0.8183507715881774,-0.027720710836951743,-1.0755907134108211,-0.46698350796580035,2.475674479865761,1.0747121551488883,1.3070855218424988,-1.1334163609379064,0.7189063551415074,0.785171491851112,2.059655349126334,0.10878684546542364,1.9077212381618702,-0.2971344998157379,-0.8172188675272366,-0.46147813175291874,0.32979245152124026,0.6456636580393318,0.18884879777617725,0.9679160551942444,-0.5933607604553816,0.06521431951743173,0.16292018145523748,-0.01035836292936925,-0.6441486257886292,-0.9710094599186078,1.5606635274052811,-0.5616008920860017,-0.7833252881773052,1.5892436525880835,-0.826877938270376,0.2463690650900024,-0.9426524968474059,-0.41012639523737027,-0.35824912402460174,0.5406807772039861,-1.127777590237461,1.025415266714284,0.24725807851700926,-0.034023430800165386,-0.2528002020550813,-2.2821850182343186,-0.1487192787593288,-1.0866754076695593,-0.38493533435339805
the,0.2916529260467168,-0.25586703392855975,-0.07868520825628139,0.21073177842518961,0.3782753320202911,-0.03387991476234674,-0.35488089328804295,-0.0693553434279346,0.12914219638377875,0.2770444265424416,0.20754863690963843,-0.042629911279537705,0.08135617081758811,-0.28027721536717354,0.2598431382974614,0.17303311960982423,-0.20068910669830436,0.008159727755326248,0.06186802140507192,-0.33266597707088874,-0.5123678880275547,-0.1995772954828447,0.23178219709030506,0.33998568552370284,-0.15400839682563883,0.5696340597618046,0.46547020246443255,-0.4284264426371186,-0.10730001587700189,0.138268821190132,0.1267595424369351,0.21140401066027628,-0.04651227019550618,-0.4158454239070696,-0.48036927276559427,-0.15939145342995045,-0.59287905968869,-0.0032006623733466756,0.2067738585149776,0.3298797025256287,0.3247006563978509,0.013588245465422854,0.3967632373900557,0.057378421705224274,-0.041661878653872095,-0.2082565269381937,-0.0792555598537854,0.2765195419312343,0.09232716785199839,-0.3837003330743298
invention,0.002297738337067132,0.027775530670085057,-0.48172468661069684,0.15963936278596555,-1.978445100972802,0.656091432237521,0.054949545610385626,-1.6091899984835543,0.0010991387062419837,1.1866648124706156,0.834475088296712,0.6018389654816856,0.22087534025783778,0.8789425474704171,0.42190284839086795,0.960153496103716,-0.5669231108579234,0.8649166997525733,-0.9937929402009278,-0.16194480277859982,-0.007334329838800555,-0.7435672526363681,0.7393388484110835,0.33622595162702185,0.11204771293578045,0.21582455445050458,0.04599809592518332,-0.12127026036121728,0.2486093621989861,0.40249331235149255,-1.7903859451269175,0.8567164872157078,0.898893251676799,-1.5114101548638028,1.7021708797820383,0.009473636376680116,0.11665691665194867,0.11547140058935589,-0.21341459579111155,-0.12399528711792965,0.9599269508136582,-0.11417678373713776,1.3091370505412758,0.49413814716729604,-1.4447505701485053,-0.974272030012735,-0.9493071865585162,-0.09713344661239827,-0.5090131839994672,-0.5389524151774924
of,0.18652202229388803,-0.09785985859031437,-0.43829254878872376,-0.1697891887968702,-0.019130191385362545,0.10356765767460772,-0.025503444049953316,-0.32134682883077736,-0.5112556893048048,0.05778311856557337,0.024236555792795274,0.32013333744601125,0.06662988364146308,0.061457523065175275,0.07440248458360448,-0.01914831692359915,-0.09008489884102108,-0.12113237462327725,-0.08517164587799897,0.04808893977465144,-0.26439126037196675,-0.5692793612580869,-0.008516236191338143,0.42250272268896844,-0.7910851160360708,0.24775496326941096,0.479028537557282,-0.19379124922399657,-0.12841707212789602,0.2679657112847896,-0.18415957799660634,0.5390324591113699,-0.11732715407113649,-0.004893457355818407,0.03364612422374199,0.2578015642195167,-0.21972854544627496,0.049013480276323386,0.6872640267585115,0.6837768701518459,0.3921428970272321,-0.34080884410601975,0.3151736797428408,-0.05278310724551452,-0.11378783488599702,0.041368756045150744,0.28478149110298495,0.15394997549068093,0.06775351420119308,-0.2806472408347095
telescope,0.1863727390837891,-0.15094019487878393,-0.7481048265375514,0.6271131527922107,-1.6121474078447682,1.2400707911607314,0.35514303881403364,-1.1002494820946616,-0.3815029545745195,1.9200107342406192,1.5020647616393554,-1.1257763382114823,0.0038975508423743474,0.6017957095491523,0.6726127728479873,-0.21651026258887823,-0.35675406836533885,0.4916585831671167,-0.19708007562877009,0.2155741345383385,0.4323616055100396,-0.2450627009367693,0.2432708114117148,1.0183048077413512,0.33718398226440804,-0.28498555561090066,0.009274544924006988,-1.3225935796985822,-0.35074128910781993,0.7215170862024602,-2.0585525686363613,1.002116913297609,2.3783246338370643,-2.051532313122824,1.3020677394744666,-0.5037301223649113,-0.2092803239244929,-0.40855065017395636,-0.6690668280057678,-0.556316427593406,0.27460247537925925,0.09869113377272552,0.6123876561522953,0.5313894760078897,-0.2733595655302837,-0.9058950680749612,-0.259568283434265,-0.7148498519428511,0.11033982700270502,-0.7785475894049715
ancient,-0.9550036780902538,0.0023625796919656745,0.8237304805274904,1.1759209130453057,-0.3639665791233787,0.32279124197368714,0.5032577104031176,-0.24325726792546212,-1.236536359734294,1.8818409441201052,0.41167398546936423,-0.3281914192161827,0.9772080568620333,0.8329453646837512,0.05514397979656852,-0.11737946988233014,0.8201171472525125,0.22741480329545202,-1.9633159610777582,0.486392824625894,0.1689029162788672,1.1010780489390917,0.46672946350813826,-0.626023001016048,-1.1461511118233723,0.5423539953250783,-0.013493771655300022,-0.6441330553078839,-0.33178905560724714,-0.2718366988073661,-1.0126461725924716,-0.05884727085380821,1.5310109451303362,-2.0718228093553326,0.03927942339812809,0.41847088212965006,0.2826544486809924,-0.2517948391024123,1.8602623269415255,-0.36774655796160227,-0.18633196549144881,-0.6834325372629314,-0.1755844380889993,-0.4957481569027741,-1.119312807355925,-0.009290291768889897,-0.8303428340445973,-1.6282817949453217,0.13996229343577524,-0.47541305774327575
astronomy,0.7102617154789499,-0.375012428455453,-0.12839023547776665,1.422010464572026,-1.1770087006164534,-0.20905876569874385,-1.178267614524674,-1.7298397862079808,-0.04560880996937568,0.9597998889574532,0.9079852003298056,-0.17396574876667723,-0.4824629951826597,0.6409803771378875,0.4163305841436706,0.8188900085455062,0.09581224740867542,1.1012496303515074,0.31214668643037596,0.6425127960834323,0.15323258705605436,0.838758957142395,0.35364291054506314,0.7501340940854576,0.5648235538475604,-0.1689544113632271,0.20488356132599386,-0.1354981853741084,-0.2689484465008019,1.1044265251429686,-1.6318402668724625,1.3218120229361197,0.6527540527929657,-1.734473070164051,0.7681055512361106,-0.018825231512708096,0.2533517922428834,0.7269987705728188,-0.8107965397066759,-0.7971622117437074,0.34227903896673256,-0.25956665953955776,0.6812640875389714,0.23072188426869222,-0.9244758171878726,-1.4527084375060653,-0.2602986507751966,-0.06955416014522192,1.0363929485730696,-1.2471072639636422
relied,0.64493527618452,-0.13073199715764597,-0.01783815605341732,1.9299984813637254,-0.6855299714410955,-0.23075171883544854,-0.9105880673177026,-1.7516769395754046,-0.5701551303859904,1.9022813810410482,1.1504386769734183,0.2516488372613696,-0.09324349389950835,1.397047740166086,0.9260990435410772,0.06058355886501762,-0.3193368575995491,0.3544948832980937,0.7902802306986019,-0.04337493213452251,0.8404978875408811,0.10946117968749867,0.6444899727202407,1.1472265531205228,-0.5406493267119683,-0.1942720391317416,0.7337744769744513,-0.28659279198353305,0.46597964710838924,1.4113577677911502,-1.460969353045822,0.7161112789576324,0.9074347103136405,-1.3756806718454762,0.26087599218451984,-0.2869888198656257,-0.2524102533105882,0.27341879022674176,-0.17146176904058216,-0.7356061677731677,-0.29414871155117744,-0.49544410241711195,0.15854114666061944,0.24724075610622007,-0.9838823756460476,-1.4019645231902167,-1.0196291579445451,-0.1863456111606799,-0.4996973740278131,-1.2153194140326689
entirely,0.5539780247675737,-0.5289890553622559,0.7548024916653592,0.10285541517403976,-2.166687830428615,0.05572036587623275,0.1435917535735877,-1.4468559509968117,0.05437018455267418,0.5289688143865318,1.0592702722174687,-0.7937035672575169,-1.5258582582745113,-0.6636959033855917,1.9484962459507493,0.0628212991298641,-1.0632201006887403,0.21340737308937704,0.09889160991330703,-0.23137312683016603,-0.10786934919939133,-0.46735688543561466,0.6068964444491518,-0.26320214144254866,0.37021228812968365,0.43162566910778183,-0.14584174175129933,-0.12864603718246737,-1.1444610310380618,-0.04474308415752115,-0.6040373752014667,0.9871365561192076,2.0165831123122726,-2.4290006381297213,0.9228958537970825,-1.0937713989852231,-0.8473568312859894,0.6030524412224104,0.1946889477516679,-0.26733289359454326,-0.4929140815568887,-1.7692288196277663,0.5518260504758824,1.3342308068309454,-0.430388024276406,-0.6041371733321953,-0.07776300579828316,-1.1822350984956984,0.4628255794607396,-0.40603228729721025
on,0.08522506846844072,0.019663344084281238,-0.6247702245581293,0.8367130423684019,-0.38183713748456394,0.01983764834409983,-1.058570123096219,-1.7411064057249097,-0.31673177062552776,-0.4440752813203347,0.494900142661176,0.39822268332694577,-1.0978359520620156,1.0251676793864641,0.6308384872406969,-0.05006384297894028,-0.13104019306322615,0.1465959958712603,1.0127542577171889,1.3590383591055106,-0.34327267426989305,-0.06465924035869935,-1.0759070855125292,0.5416080481491199,-0.07225442651287717,-0.5246442292486566,-0.22977256074636584,0.39911418200350524,-0.5643348156302294,0.9434809563412044,0.26236691184435756,0.694337151743115,-0.2989662765573756,-1.2446914607567077,-0.5967646189228073,-0.9186217710963626,-0.2993939230470959,0.8823898932797941,-0.12489504903774465,0.2095436463080945,-1.001606306350183,-0.670667982729263,1.5034646919916244,0.7294524736888178,-1.4610582305797817,-1.2856899202593184,-0.13482211257336943,-0.8673928626763396,-0.6869361995912127,-1.3911484430083332
